Silver results of stdin

Query-def :sp|P96368|TRCS_MYCTU Sensor histidine kinase TrcS OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=trcS PE=1 SV=1
Length :509

id,hit,score,evalue,identity,positive,gaps,align-length 
WP_055376304,1,2041,0,508,508,0,509
WP_070841761,1,2041,0,507,507,0,509
WP_165715454,1,2041,0,508,508,0,509
WP_031705165,1,2040,0,508,508,0,509
WP_057345572,1,2040,0,507,507,0,509
WP_057346965,1,2040,0,507,508,0,509
WP_070899042,1,2040,0,508,508,0,509
WP_031664766,1,2040,0,507,507,0,509
WP_057141096,1,2039,0,507,507,0,509
WP_057369691,1,2039,0,507,507,0,509
WP_057137776,1,2039,0,507,508,0,509
WP_057342780,1,2039,0,507,507,0,509
WP_031721046,1,2039,0,507,507,0,509
WP_230865514,1,2038,0,505,507,0,509
WP_055377530,1,2038,0,507,507,0,509
WP_057366582,1,2038,0,507,508,0,509
WP_057372015,1,2038,0,507,507,0,509
WP_057365605,1,2038,0,507,508,0,509
WP_042914725,1,2037,0,507,507,0,509
WP_052630510,1,2036,0,507,507,0,509
WP_031676890,1,2036,0,506,507,0,509
WP_031686373,1,2036,0,508,508,1,509
WP_031708126,1,2035,0,508,508,1,509
MBX4387566,1,2035,0,507,508,0,509
WP_055386409,1,2035,0,506,506,0,509
WP_057338099,1,2034,0,506,506,0,509
WP_055379460,1,2034,0,507,507,0,509
WP_057364814,1,2033,0,506,506,0,509
WP_057352269,1,2033,0,506,506,0,509
WP_014000561,1,2032,0,506,507,0,509
WP_057373017,1,2031,0,506,506,0,509
WP_057347610,1,2031,0,506,506,0,509
WP_057309471,1,2028,0,506,506,0,509
WP_072519550,1,2027,0,507,507,1,509
WP_057360435,1,2026,0,505,505,0,509
WP_057308146,1,2026,0,505,506,0,509
WP_230870992,1,2026,0,505,506,0,509
WP_015292629,1,2018,0,502,503,0,509
WP_057365226,1,2011,0,503,504,0,509
WP_031707347,1,1965,0,497,497,12,509
ANZ81679,1,1953,0,457,457,0,457
AUS50125,1,1946,0,493,493,0,509
KAF3413330,1,1940,0,456,456,0,457
CMO86245,1,1913,0,483,484,0,494
KAO74469,1,1764,0,422,422,0,422
WP_085325340,1,1688,0,437,463,0,502
WP_085671861,1,1580,0,407,443,0,505
WP_068158520,1,1578,0,412,446,5,506
WP_068028431,1,1567,0,410,445,5,506
WP_067412232,1,1566,0,407,440,5,505
WP_186246571,1,1563,0,409,445,5,506
WP_085253386,1,1558,0,405,435,0,497
WP_065138739,1,1557,0,397,434,0,496
WP_036364085,1,1557,0,397,434,0,496
WP_065150001,1,1556,0,396,433,0,496
WP_065034830,1,1552,0,398,433,0,496
WP_094359038,1,1550,0,402,436,0,503
WP_085162561,1,1547,0,405,441,0,509
WP_083047126,1,1546,0,407,429,0,493
WP_069422571,1,1545,0,394,431,0,497
WP_156092206,1,1544,0,400,435,0,503
WP_240168541,1,1544,0,401,435,0,503
WP_012396011,1,1543,0,399,436,0,503
WP_191497465,1,1543,0,400,435,0,497
WP_071497905,1,1542,0,400,435,0,503
WP_134430271,1,1542,0,398,435,0,503
WP_036426315,1,1541,0,400,435,0,503
WP_186244327,1,1541,0,401,434,0,497
RUP01385,1,1540,0,395,441,4,507
WP_065157591,1,1540,0,394,428,0,496
WP_117423502,1,1540,0,399,434,0,503
WP_119571747,1,1537,0,399,435,0,503
WP_117428811,1,1536,0,400,434,0,503
WP_055581209,1,1536,0,392,436,4,501
WP_156297890,1,1535,0,392,436,4,499
WP_065119237,1,1535,0,395,431,0,496
WP_198966334,1,1534,0,399,434,0,503
WP_117406386,1,1533,0,397,434,0,503
WP_122525933,1,1532,0,404,438,5,508
WP_065165904,1,1532,0,391,436,4,499
WP_120793833,1,1532,0,391,436,4,499
WP_117407789,1,1531,0,398,433,0,503
WP_065043824,1,1530,0,390,435,4,499
WP_117421749,1,1529,0,395,430,0,503
WP_075544843,1,1529,0,396,435,5,508
WP_163716963,1,1528,0,393,430,0,497
WP_015356961,1,1528,0,399,434,0,503
WP_122444295,1,1528,0,403,438,5,508
BBX72329,1,1528,0,371,392,0,450
WP_211699582,1,1528,0,398,432,1,499
KZS80618,1,1527,0,395,435,5,508
WP_180915101,1,1525,0,388,431,3,499
WP_083112536,1,1524,0,362,395,0,453
WP_075549267,1,1523,0,393,429,0,497
BBX97823,1,1523,0,370,403,0,457
ABL06568,1,1523,0,364,398,0,457
WP_083156366,1,1522,0,396,431,5,503
EPQ45920,1,1522,0,364,398,0,457
WP_117438131,1,1521,0,396,431,0,503
MBY0390263,1,1521,0,392,432,5,503
WP_036401840,1,1521,0,393,432,5,503
WP_075509048,1,1520,0,394,433,5,502
WP_149653308,1,1519,0,413,445,5,509
BBA89928,1,1518,0,363,398,0,457
WP_103801396,1,1515,0,394,432,5,503
WP_065142964,1,1514,0,392,430,0,499
WP_236977728,1,1513,0,393,429,3,499
WP_023367044,1,1512,0,393,431,5,503
WP_036409578,1,1510,0,398,435,5,509
GLC09370,1,1509,0,392,429,3,499
WP_205874455,1,1508,0,384,431,4,507
PJE22636,1,1508,0,355,396,4,453
WP_063476989,1,1506,0,392,431,5,503
WP_099184266,1,1505,0,396,430,5,503
WP_065137245,1,1503,0,382,433,4,499
WP_069435171,1,1503,0,382,433,4,499
VTO96402,1,1501,0,390,429,5,503
COW81119,1,1487,0,370,371,0,376
2,882,1.06892e-107,242,242,0,242
WP_076060169,1,1479,0,392,431,0,503
WP_158018005,1,1477,0,388,428,2,503
WP_067239579,1,1471,0,385,425,5,509
WP_067379034,1,1466,0,384,420,5,509
WP_076119368,1,1466,0,391,431,0,503
WP_085172219,1,1460,0,381,425,0,494
WP_077102389,1,1460,0,384,429,0,502
WP_076122885,1,1457,0,390,427,1,503
WP_085246119,1,1457,0,380,424,0,494
WP_156688288,1,1453,0,374,425,0,499
WP_040631939,1,1451,0,375,427,0,503
WP_085233665,1,1449,0,382,423,3,497
WP_055403113,1,1449,0,383,426,1,502
WP_085099339,1,1448,0,379,424,0,494
WP_083166708,1,1447,0,375,423,1,502
WP_067898514,1,1447,0,383,425,1,502
WP_067940131,1,1446,0,374,421,0,506
WP_248607918,1,1441,0,374,425,0,503
WP_077093844,1,1441,0,374,425,0,503
WP_068221498,1,1440,0,383,426,3,503
MBV8788292,1,1438,0,383,426,0,501
WP_221041827,1,1437,0,371,419,0,501
WP_136245704,1,1437,0,370,418,0,502
WP_067097086,1,1435,0,373,420,0,501
WP_067170507,1,1434,0,368,418,0,503
WP_074021338,1,1432,0,369,417,0,502
WP_067736003,1,1431,0,375,424,1,502
WP_095762917,1,1431,0,369,417,0,502
WP_014381933,1,1430,0,368,417,0,502
WP_085289854,1,1430,0,372,419,0,505
WP_069400489,1,1430,0,373,416,0,499
WP_014379347,1,1429,0,369,417,0,502
WP_009954127,1,1429,0,368,417,0,502
WP_054879495,1,1429,0,377,422,0,501
EUA25794,1,1428,0,369,417,0,502
WP_068280581,1,1428,0,385,429,7,504
WP_202377977,1,1427,0,368,417,0,502
WP_064938573,1,1427,0,368,417,0,502
WP_014711052,1,1426,0,368,417,0,502
WP_044487132,1,1426,0,371,422,0,503
WP_095579860,1,1426,0,368,416,0,502
WP_054585547,1,1426,0,368,416,0,502
WP_065029693,1,1426,0,370,421,0,501
EJO86199,1,1425,0,340,386,0,451
WP_020821804,1,1425,0,367,416,0,502
WP_225336661,1,1425,0,368,417,0,502
WP_225331955,1,1425,0,368,416,0,502
WP_067128753,1,1425,0,371,421,0,506
WP_047316069,1,1424,0,376,420,0,501
CKO50519,1,1424,0,390,390,0,390
WP_066954767,1,1423,0,375,417,1,502
WP_068185191,1,1422,0,386,430,2,503
WP_064878951,1,1421,0,365,412,0,489
WP_067877432,1,1421,0,384,428,7,504
WP_225329600,1,1420,0,367,420,0,502
WP_085181385,1,1420,0,373,420,0,496
WP_225325094,1,1420,0,368,416,0,502
WP_069953745,1,1420,0,367,416,0,502
WP_085256660,1,1420,0,382,421,1,495
WP_067247873,1,1419,0,368,418,0,504
WP_045375082,1,1419,0,374,418,4,496
WP_054585066,1,1419,0,367,416,0,502
WP_008254248,1,1418,0,367,416,0,502
WP_067201905,1,1418,0,372,422,1,502
WP_083073563,1,1418,0,384,424,4,509
WP_067834118,1,1418,0,369,416,0,506
WP_065053334,1,1417,0,370,418,1,502
WP_163706197,1,1417,0,363,413,0,491
WP_066825823,1,1417,0,372,422,0,496
WP_075238830,1,1416,0,370,417,1,502
WP_065073555,1,1415,0,370,418,1,502
WP_046184803,1,1415,0,376,419,1,502
WP_066965987,1,1414,0,379,423,1,505
WP_224097971,1,1414,0,370,417,0,502
WP_075236794,1,1414,0,370,417,1,502
WP_067913982,1,1413,0,367,414,0,501
WP_023866367,1,1413,0,370,417,0,502
WP_065127221,1,1413,0,369,418,1,502
WP_062886505,1,1413,0,369,417,0,502
WP_104183251,1,1413,0,369,416,0,502
WP_076189198,1,1412,0,370,414,1,497
WP_071321374,1,1412,0,368,416,0,502
WP_084021955,1,1412,0,369,417,0,502
WP_003877550,1,1412,0,369,415,0,501
WP_066988373,1,1412,0,368,414,0,506
WP_033720340,1,1411,0,369,416,0,502
WP_003872721,1,1411,0,370,416,0,501
WP_084023554,1,1411,0,369,417,0,502
WP_116671151,1,1411,0,368,415,0,502
WP_095762075,1,1411,0,369,416,0,502
WP_044543539,1,1411,0,368,416,0,502
ORV83075,1,1411,0,378,421,1,502
WP_085188584,1,1411,0,383,427,1,507
WP_033710675,1,1410,0,368,417,0,502
WP_019732881,1,1410,0,369,417,0,502
WP_084051653,1,1409,0,369,417,0,502
WP_084026361,1,1409,0,369,417,0,502
WP_011723983,1,1409,0,369,416,0,502
CAG6931218,1,1408,0,369,416,0,501
WP_067004769,1,1407,0,383,425,2,503
WP_084054527,1,1407,0,368,416,0,502
WP_009975277,1,1407,0,369,415,0,502
WP_068054154,1,1406,0,370,415,1,500
WP_068137988,1,1406,0,384,427,2,506
WP_033718676,1,1406,0,368,416,0,502
WP_196410992,1,1405,0,368,416,0,502
WP_064953958,1,1405,0,368,416,1,502
WP_233082263,1,1405,0,368,415,0,502
WP_076051174,1,1405,0,367,414,1,497
WP_066915242,1,1405,0,379,421,0,502
WP_095786060,1,1404,0,368,415,0,502
WP_095794785,1,1404,0,368,416,0,502
WP_116374204,1,1404,0,338,384,3,450
GBE64600,1,1404,0,338,384,3,450
WP_023869582,1,1403,0,368,415,0,502
WP_083098013,1,1403,0,364,412,0,501
WP_163792780,1,1402,0,374,423,0,496
WP_083131689,1,1402,0,365,418,3,493
WP_066941945,1,1400,0,378,424,1,506
WP_036471234,1,1400,0,369,423,0,496
WP_084024001,1,1397,0,367,414,0,502
WP_067928252,1,1397,0,369,414,1,501
WP_085080815,1,1397,0,376,417,1,497
WP_112631950,1,1396,0,366,415,0,502
WP_068213557,1,1395,0,370,423,0,502
WP_067158408,1,1394,0,381,427,2,503
WP_084948992,1,1394,0,368,410,0,496
WP_068103449,1,1393,0,379,423,2,504
WP_066880456,1,1392,0,368,418,1,502
WP_044507746,1,1392,0,368,410,0,496
WP_068065155,1,1391,0,365,411,0,488
WP_151834815,1,1391,0,361,417,0,502
WP_068009152,1,1391,0,372,415,3,503
WP_067024709,1,1390,0,368,418,1,502
WP_067142346,1,1390,0,367,418,1,502
WP_066871731,1,1390,0,368,418,1,502
UKO66164,1,1389,0,335,378,0,449
WP_068289834,1,1389,0,365,411,0,488
WP_067355139,1,1389,0,368,414,0,501
WP_083065185,1,1388,0,365,411,0,501
WP_062539597,1,1388,0,369,416,7,496
WP_068122232,1,1388,0,371,415,3,503
WP_083176706,1,1387,0,369,416,1,502
WP_067184642,1,1386,0,367,418,1,502
WP_067942855,1,1385,0,370,413,1,502
WP_068239697,1,1385,0,371,416,1,499
WP_085219704,1,1384,0,371,417,0,495
WP_085269752,1,1383,0,372,414,0,493
WP_067324696,1,1382,0,370,424,0,501
BBY24879,1,1381,0,338,384,0,450
WP_067270540,1,1381,0,375,415,2,503
WP_067119033,1,1381,0,371,418,1,505
WP_163681226,1,1380,0,365,413,1,502
ATA27895,1,1379,0,362,411,0,502
WP_116539603,1,1379,0,353,407,0,503
CDO90530,1,1377,0,334,385,0,450
WP_048892827,1,1377,0,372,411,8,503
WP_068086089,1,1376,0,368,412,1,499
BBZ48244,1,1375,0,337,377,0,450
WP_083137371,1,1375,0,370,421,0,501
WP_069396096,1,1375,0,355,405,5,496
WP_112709083,1,1375,0,363,413,1,498
WP_065441783,1,1374,0,366,413,1,502
WP_065497247,1,1373,0,366,413,1,502
WP_067302881,1,1373,0,374,415,4,504
WP_007168947,1,1371,0,366,415,1,502
WP_108924427,1,1371,0,368,420,0,496
WP_065470887,1,1371,0,365,414,1,502
WP_065517553,1,1370,0,366,415,1,502
WP_065481945,1,1370,0,366,413,1,502
WP_096289822,1,1367,0,369,419,0,496
WP_065015384,1,1366,0,364,405,3,493
WP_067785027,1,1364,0,365,409,1,499
WP_068044053,1,1364,0,371,415,1,502
WP_067749426,1,1364,0,365,411,1,502
WP_067890206,1,1362,0,365,409,1,499
WP_090417773,1,1361,0,371,414,1,509
WP_085239698,1,1360,0,370,414,1,509
BBY02267,1,1358,0,331,373,1,450
WP_113963684,1,1358,0,353,403,5,496
TAM71392,1,1356,1.7658e-180,360,410,0,501
WP_090605834,1,1354,3.04674e-180,368,420,0,496
WP_163757275,1,1353,3.93661e-180,354,412,2,498
WP_237086960,1,1339,5.79542e-180,375,375,0,375
WP_052628594,1,1332,1.50418e-179,329,329,0,329
WP_073876404,1,1349,1.70783e-179,366,406,1,502
WP_239720915,1,1348,1.90238e-179,367,419,0,496
WP_049961740,1,1332,2.34125e-179,329,329,0,329
WP_252262011,1,1333,2.57714e-179,329,329,0,329
WP_252256365,1,1333,4.43063e-179,329,329,0,329
WP_237025554,1,1332,6.44369e-179,329,329,0,329
WP_237026589,1,1331,1.00378e-178,329,329,0,329
WP_237028099,1,1330,1.23919e-178,329,329,0,329
WP_237073010,1,1329,1.81278e-178,328,328,0,329
GBG39347,1,1338,3.01108e-178,332,381,0,450
WP_071512429,1,1340,5.3007e-178,356,408,6,499
WP_252258971,1,1322,2.32387e-177,327,327,0,329
WP_085194333,1,1332,6.00146e-177,328,365,2,451
WP_077088187,1,1331,6.45543e-177,370,415,0,496
EID11329,1,1324,6.65815e-176,327,363,2,451
WP_039890860,1,1324,9.15503e-176,327,363,2,451
WP_096442264,1,1323,1.87696e-175,371,409,0,496
WP_085195083,1,1321,2.52264e-175,359,402,4,497
MBV8177208,1,1318,6.37719e-175,345,402,5,497
MBO0880737,1,1319,7.8359e-175,351,404,9,503
MBV9723174,1,1314,3.48738e-174,328,373,11,457
WP_077079830,1,1309,1.93572e-173,372,413,0,496
WP_213442694,1,1310,2.86516e-173,358,404,4,489
CKR75426,1,1283,1.81619e-172,303,303,0,303
REO45478,1,1276,1.48085e-171,302,302,0,302
EUA01198,1,1287,1.48807e-171,314,347,0,398
MBV9320632,1,1295,2.10094e-171,328,372,3,453
MBV9350198,1,1292,3.41689e-171,328,372,3,453
EFD61110,1,1278,5.21261e-171,303,303,0,303
WP_071028191,1,1292,6.16491e-171,354,400,8,505
PQM48632,1,1292,6.67212e-171,354,400,8,505
KAA8966319,1,1288,2.20375e-170,347,396,3,488
WP_219069578,1,1284,9.37142e-170,343,398,6,491
CKV89582,1,1258,4.48846e-169,284,284,0,284
WP_144945816,1,1276,3.08675e-168,369,407,5,501
WP_163776288,1,1232,8.90711e-162,334,387,5,497
WP_067338975,1,1225,7.06895e-161,334,381,5,495
CKM55538,1,1195,1.01859e-159,272,273,0,273
BBX46082,1,1215,2.13935e-159,310,353,5,451
WP_240262503,1,1210,1.20313e-158,325,375,9,489
WP_142757999,1,1175,1.03795e-156,268,268,0,268
WP_064856036,1,1184,1.53224e-154,321,384,2,495
WP_201368475,1,1168,6.64089e-154,287,321,0,376
WP_065024692,1,1179,1.5268e-153,320,384,2,495
WP_116298729,1,1153,5.69564e-153,294,294,0,294
CKM68847,1,1151,1.19626e-152,294,294,0,294
WP_109535735,1,1172,1.88273e-152,320,378,2,495
CKV60533,1,1147,5.88227e-152,293,293,0,294
CKQ34696,1,1143,2.59327e-151,293,293,0,294
WP_082956819,1,1163,3.82095e-151,319,377,2,494
ACT26042,1,1141,4.01183e-151,292,292,0,292
WP_085261401,1,1162,4.39942e-151,321,382,2,493
WP_065289392,1,1162,5.40835e-151,324,388,3,502
WP_125225882,1,1162,5.77438e-151,319,377,2,494
WP_235653783,1,1156,2.52084e-150,317,370,1,497
WP_232062375,1,1138,2.50753e-147,315,374,2,495
OBK84097,1,1136,3.31915e-147,316,373,2,501
WP_225405197,1,1128,5.24241e-146,280,335,1,451
WP_233424777,1,1126,1.01708e-145,314,373,2,504
WP_214092098,1,1124,1.05699e-145,310,368,8,489
WP_234821557,1,1125,1.63913e-145,317,374,7,504
WP_225400827,1,1123,1.70675e-145,306,372,2,493
WP_085266498,1,1123,2.50007e-145,318,370,2,494
KLO28147,1,1122,3.58284e-145,312,371,2,498
WP_239652166,1,1122,3.74191e-145,317,373,7,504
WP_224863210,1,1120,4.89582e-145,306,371,2,493
OBG38403,1,1121,5.83591e-145,315,372,7,498
PQM51872,1,1120,6.09505e-145,315,372,7,498
CKM19519,1,1100,7.47701e-145,285,286,0,292
OBJ31882,1,1119,1.06059e-144,315,372,7,498
WP_224974191,1,1116,3.95038e-144,285,340,2,452
AEF37928,1,1107,6.3579e-143,281,337,2,452
RAU90047,1,1098,1.84218e-141,280,339,2,452
WP_085147405,1,1074,4.81829e-138,306,370,10,490
WP_225397455,1,1074,4.92481e-138,300,368,2,493
BCP19524,1,1057,1.63433e-137,266,296,0,340
EUA86019,1,1049,1.01247e-136,254,270,0,303
WP_067859033,1,1065,1.34757e-136,305,369,10,490
CNW98989,1,1045,1.49439e-136,274,274,0,274
OUZ04633,1,1049,2.68512e-136,269,298,0,339
GJN94952,1,1045,2.77093e-136,253,270,0,303
ETB02349,1,1048,2.79338e-136,269,298,0,339
GAQ38184,1,1034,6.71069e-135,238,255,0,284
MBO0865365,1,1044,9.83333e-135,300,333,8,409
WP_036429389,1,1051,1.16491e-134,312,374,15,495
MBV8860959,1,1029,1.94643e-133,264,295,6,344
TVY02687,1,1041,7.53346e-133,304,364,10,488
OCB48991,1,1040,8.21589e-133,304,364,10,488
OCB54282,1,1040,8.21589e-133,304,364,10,488
MBX8686636,1,1040,8.21589e-133,304,364,10,488
OCB14174,1,1038,2.08682e-132,304,364,10,488
ORB41207,1,1037,2.56402e-132,303,364,10,488
WP_065019891,1,1034,5.55355e-132,300,362,10,497
WP_171508689,1,1032,1.44152e-131,299,361,10,497
WP_090517355,1,1030,2.69318e-131,304,363,10,492
WP_054603336,1,1029,3.18008e-131,299,360,10,497
WP_211157535,1,1030,3.49312e-131,304,361,10,492
WP_090424439,1,1028,4.99474e-131,305,362,10,492
WP_019347173,1,1027,5.59919e-131,287,357,6,488
WP_135359575,1,1027,8.78616e-131,300,359,10,488
WP_064901384,1,1026,9.29831e-131,298,360,10,497
WP_064848151,1,1026,9.81605e-131,298,360,10,497
WP_044515839,1,1026,1.10164e-130,304,361,10,492
WP_077742408,1,1026,1.16297e-130,305,363,10,491
OKH77351,1,1022,1.66716e-130,283,336,15,450
OLP00745,1,1025,1.77453e-130,304,362,10,488
WP_055110330,1,1025,1.85569e-130,300,359,10,488
UHJ57178,1,1023,2.96468e-130,296,356,10,488
WP_003883609,1,1022,4.3792e-130,298,359,10,497
OBC11156,1,1021,4.93662e-130,310,368,22,503
WP_052235683,1,1020,8.09345e-130,304,364,10,495
WP_210393033,1,1019,1.00865e-129,298,359,10,497
WP_171504644,1,1020,1.10191e-129,286,364,12,493
WP_166902292,1,1019,1.23754e-129,301,358,10,488
WP_064886799,1,1019,1.33315e-129,298,358,10,488
BCO34691,1,1003,1.52968e-129,262,287,0,336
WP_064957026,1,1018,1.78613e-129,298,358,10,488
WP_036389224,1,1017,2.44542e-129,303,359,10,488
BBX88486,1,1016,2.48838e-129,280,333,10,452
AMC58587,1,990,3.43899e-129,232,232,0,232
WP_062829190,1,1015,3.62465e-129,308,366,22,500
AMD55772,1,1015,4.21545e-129,297,359,10,497
WP_064935017,1,1014,6.34386e-129,297,356,10,488
WP_087074111,1,1013,9.60997e-129,306,365,22,500
WP_083161468,1,1012,1.08262e-128,308,366,14,499
WP_061265815,1,1012,1.32909e-128,297,358,10,497
GFG67069,1,989,1.68189e-128,230,246,0,270
WP_019346754,1,1011,2.11112e-128,302,358,10,488
WP_221884099,1,1010,3.25585e-128,302,358,10,488
WP_221852073,1,1007,7.10102e-128,299,358,10,488
WP_163664568,1,1006,1.06009e-127,296,356,10,489
WP_075910248,1,1006,1.20721e-127,299,358,10,488
WP_065052359,1,1004,1.71808e-127,288,360,6,488
WP_070946786,1,1005,1.78277e-127,300,358,10,488
WP_239252235,1,1003,2.80943e-127,298,358,10,488
WP_070187065,1,1002,4.93355e-127,299,358,10,488
WP_019729383,1,981,9.28695e-127,237,258,0,293
WP_234880776,1,1001,1.17429e-126,290,350,10,493
WP_237162744,1,1000,1.73363e-126,289,352,10,496
SHV75290,1,999,2.1996e-126,288,352,10,496
WP_226522257,1,997,5.22728e-126,288,352,10,496
WP_233164940,1,993,5.94886e-126,283,354,10,497
WP_234789618,1,993,2.15675e-125,290,349,10,493
WP_051128479,1,991,3.14948e-125,289,349,10,493
WP_062658433,1,988,3.88192e-125,295,360,10,494
WP_067772661,1,988,5.31071e-125,296,355,10,491
WP_244602310,1,990,5.64851e-125,289,349,10,493
GCA99595,1,990,5.68597e-125,289,349,10,493
WP_244872916,1,988,1.14101e-124,288,349,10,493
WP_166555650,1,985,2.15979e-124,289,348,10,493
NIH94243,1,983,2.46649e-124,294,358,19,495
WP_170212452,1,984,3.09811e-124,289,346,10,494
WP_234785479,1,984,3.62999e-124,288,349,10,493
MBU8817363,1,981,5.59485e-124,292,357,15,492
WP_214395032,1,981,5.71729e-124,293,358,15,492
BBX84428,1,983,6.44076e-124,289,346,10,494
GAS97550,1,978,8.1341e-124,267,328,10,454
AJR30271,1,973,1.32306e-123,261,311,7,423
WP_076196455,1,978,1.80889e-123,294,353,10,488
WP_155922628,1,977,2.66748e-123,297,361,10,493
WP_051561794,1,975,2.98215e-123,294,361,10,494
WP_209919443,1,976,3.16802e-123,299,360,10,489
TLH63892,1,975,3.92907e-123,264,314,10,451
WP_235683533,1,974,4.68559e-123,294,357,19,495
WP_155917338,1,975,5.21718e-123,297,361,10,493
TDK93918,1,974,5.49528e-123,263,316,10,454
WP_235632956,1,973,8.49729e-123,294,357,19,495
PJK20288,1,972,9.84756e-123,292,357,15,492
WP_234711383,1,975,9.93084e-123,289,346,10,494
WP_066901731,1,972,1.0063e-122,304,364,13,490
WP_231575700,1,975,1.07116e-122,289,346,10,494
WP_208410481,1,971,1.33284e-122,267,326,19,455
TXH15745,1,971,1.33465e-122,262,316,10,454
WP_217160514,1,971,1.98318e-122,297,360,10,489
OKH85024,1,968,4.83178e-122,262,309,10,452
OBA88436,1,966,8.39884e-122,264,313,10,451
WP_155928337,1,967,1.05593e-121,287,348,14,495
KAB7755663,1,965,1.06559e-121,263,313,10,451
OKH71042,1,964,1.09994e-121,266,323,15,448
OBJ40882,1,966,1.16784e-121,263,313,10,451
TLH75034,1,963,1.20759e-121,267,329,10,454
QNJ95995,1,964,1.48926e-121,267,325,19,455
RUP30047,1,963,2.61552e-121,263,313,10,451
OBJ72495,1,961,2.79986e-121,292,349,17,493
WP_163801553,1,960,3.42901e-121,262,314,22,455
TLH50916,1,962,4.05139e-121,263,311,10,452
MBU8831266,1,962,4.07081e-121,290,355,15,492
MUL77461,1,961,5.82386e-121,262,312,10,451
WP_155905708,1,960,1.04504e-120,285,348,14,495
WP_155912392,1,954,1.0226e-119,284,347,14,495
MBI3225590,1,944,1.37742e-118,264,320,16,453
WP_255496756,1,937,2.28133e-117,266,340,16,492
TDO14182,1,935,3.63102e-117,266,340,16,492
ACT26043,1,906,8.54171e-117,216,217,0,217
MBB3601845,1,930,1.67746e-116,248,309,16,449
EUA50594,1,902,2.07943e-115,211,227,0,261
WP_043985132,1,922,5.63966e-115,283,346,10,496
WP_149482774,1,918,1.22609e-114,264,338,10,494
REY00839,1,894,1.38848e-114,244,244,0,244
WP_085109408,1,915,2.66712e-114,282,339,17,487
WP_064985929,1,911,1.82712e-113,276,346,10,492
